€625,000 	 Curraghmore, Belcarra, Castlebar, Co Mayo
€199,500 	 Liscarney, Westport, Mayo
AMV €245,000 	 ONLINE AUCTION Camcloon More, Newport, Mayo
€99,500 	 1B Beech Park, Ballyhaunis, Co. Mayo
€120,000 	 Cloonkeen, Tagheen, Claremorris, Mayo
POA 	 9 An Geagain, Ballinrobe, Mayo
€215,000 	 Coolturk, Crossmolina, Mayo
POA 	 Newtown, Clogher, Belmullet, Co. Mayo
AMV €70,000 	 Georges Street, Newport, Mayo
€135,000 	 16 Woodville, Ballina, Mayo
€159,500  -€9,500 on 17th Oct 19 	 108 Chestnut Grove, Castlebar, Mayo
€89,950 	 Knox Street, Ballyhaunis, Mayo
€149,500 	 44 Dunbeag, Castlebar, Mayo
€269,000 	 Wednesday House, Elmhall, Belcarra, Castlebar, Mayo
€320,000 	 Rocklands, Castlebar, Mayo
€285,000 	 11 Cashel Park, Castlebar, Mayo
€199,000 	 Castlebar road, Ballinrobe, Mayo
€295,000 	 Knappagh Beg, Westport, Co Mayo, F28 D576
POA 	 8 Garumna Court, Foxford, Mayo
€180,000 	 209 Harbour Mill, Westport, Mayo
€154,000 	 5 Ballyhaunis Road, Knock, Co. Mayo
